Country,Happiness Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption,Explained by: Log GDP per capita,Explained by: Social support,Explained by: Healthy life expectancy,Explained by: Freedom to make life choices,Explained by: Generosity,Explained by: Perceptions of corruption,Año
Togo,4.137,7.673,0.595,57.449,0.657,0.024,0.74,0.77,0.642,0.161,0.367,0.149,0.136,2023
Jordan,4.12,9.13,0.729,67.6,0.77,-0.15,0.687,1.292,0.98,0.438,0.517,0.056,0.173,2023
Ethiopia,4.091,7.739,0.782,60.698,0.72,0.273,0.789,0.793,1.114,0.25,0.451,0.283,0.101,2023
Liberia,4.042,7.277,0.596,56.7,0.735,0.154,0.83,0.628,0.644,0.141,0.471,0.219,0.071,2023
India,4.036,8.759,0.608,60.777,0.897,0.072,0.774,1.159,0.674,0.252,0.685,0.175,0.111,2023
Madagascar,4.019,7.29,0.65,58.05,0.522,0.075,0.742,0.632,0.779,0.178,0.187,0.177,0.134,2023
Zambia,3.982,8.074,0.694,55.032,0.791,0.098,0.818,0.914,0.89,0.095,0.545,0.189,0.08,2023
Tanzania,3.694,7.857,0.653,59.401,0.838,0.182,0.554,0.836,0.787,0.214,0.607,0.234,0.269,2023
Comoros,3.545,8.075,0.471,59.425,0.47,-0.014,0.727,0.914,0.327,0.215,0.117,0.129,0.145,2023
Malawi,3.495,7.302,0.531,58.475,0.75,0.005,0.749,0.637,0.479,0.189,0.49,0.139,0.129,2023
Botswana,3.435,9.629,0.753,54.725,0.742,-0.215,0.83,1.471,1.041,0.087,0.48,0.021,0.071,2023
Congo (Kinshasa),3.207,7.007,0.652,55.375,0.664,0.086,0.834,0.531,0.784,0.105,0.375,0.183,0.068,2023
Zimbabwe,3.204,7.641,0.69,54.05,0.654,-0.046,0.766,0.758,0.881,0.069,0.363,0.112,0.117,2023
Sierra Leone,3.138,7.394,0.555,54.9,0.66,0.105,0.858,0.67,0.54,0.092,0.371,0.193,0.051,2023
Lebanon,2.392,9.478,0.53,66.149,0.474,-0.141,0.891,1.417,0.476,0.398,0.123,0.061,0.027,2023
Afghanistan,1.859,7.324,0.341,54.712,0.382,-0.081,0.847,0.645,0.0,0.087,0.0,0.093,0.059,2023
